Fish Species,Temperature (°C),pH,Turbidity (NTU),Dissolved Oxygen (mg/L)
Catfish,26.42,6.7,37.74,5.23
Catfish,27.53,7.92,94.77,
Catfish,26.85,7.38,84.9,3.37
Bass,24.72,6.19,48.99,8.37
Eel,23.87,7.46,27.78,6.49
Clownfish,25.61,8.01,4.33,5.04
Salmon,14.83,7.28,0.52,6.07
Eel,14.27,7.72,,4.8
Catfish,26.73,7.75,9.07,3.5
Goldfish,20.97,7.9,,5.56
Catfish,24.42,6.07,63.45,3.92
Tilapia,23.05,7.29,39.74,4.18
Salmon,14.76,,5.85,11.64
Trout,14.82,6.75,2.79,11.69
Clownfish,26.67,7.82,0.41,5.59
Trout,11.69,6.78,8.53,
Goldfish,22.79,7.88,14.55,5.27
Goldfish,15.25,7.42,13.09,7.06
Trout,10.78,6.62,0.99,8.85
Trout,13.91,7.36,9.31,10.79
Tilapia,24.0,6.61,36.87,6.19
Catfish,22.09,7.84,64.87,4.76
Clownfish,24.04,7.99,3.87,7.14
Goldfish,18.51,7.31,14.36,7.39
,15.44,7.16,6.7,10.85
Tilapia,22.9,7.23,24.2,7.46
Tilapia,23.19,7.09,35.61,6.6
Clownfish,,7.9,1.37,6.87
Salmon,13.58,7.16,3.24,9.0
Eel,15.85,6.05,24.79,5.58
Tilapia,25.12,7.18,15.99,6.97
Tilapia,28.03,7.64,12.01,6.35
Catfish,22.9,7.02,90.44,3.03
Trout,10.48,7.29,6.11,9.15
Goldfish,21.07,8.36,18.09,5.94
Goldfish,12.39,8.46,13.67,7.57
Clownfish,,8.0,4.35,5.36
Clownfish,26.92,7.84,2.55,6.42
Eel,6.95,6.51,28.23,7.0
Goldfish,21.5,7.72,12.16,6.08
Trout,10.99,6.61,6.66,
Clownfish,27.96,8.28,0.79,7.25
Eel,8.88,6.49,12.7,4.78
Eel,21.94,7.28,29.87,3.21
Clownfish,24.76,7.81,0.66,6.45
Trout,17.76,6.78,0.6,7.01
Clownfish,26.96,7.84,1.59,7.49
Bass,23.62,7.32,26.54,7.67
Tilapia,22.52,6.7,37.4,6.45
Salmon,13.44,7.17,8.65,10.34
Salmon,13.28,7.1,5.7,7.71
Clownfish,27.63,7.87,2.68,
Catfish,26.16,6.19,36.24,6.1
Salmon,13.75,6.68,3.61,7.22
Eel,10.32,6.59,21.42,7.46
Eel,11.61,7.44,11.19,4.97
Goldfish,13.79,8.07,11.75,5.33
Catfish,25.99,7.53,50.48,6.46
Eel,10.69,7.63,10.27,7.37
Bass,15.27,6.03,7.73,9.62
Trout,13.76,6.68,0.12,11.73
Bass,,7.11,46.96,8.62
Clownfish,27.07,7.83,,5.1
Eel,11.75,6.49,26.95,
Eel,6.76,7.37,29.53,4.85
Catfish,22.14,7.71,20.51,4.22
Catfish,26.62,6.68,51.06,
Salmon,10.61,,1.18,9.79
Tilapia,24.13,6.84,27.31,
Tilapia,29.03,7.85,17.11,7.57
,18.55,6.63,15.91,10.0
Salmon,12.87,7.25,4.5,8.12
Trout,12.46,6.74,1.53,11.24
Salmon,,6.87,9.43,6.56
Salmon,8.56,7.25,4.16,
Salmon,14.25,7.27,3.04,10.68
Trout,12.69,7.27,2.58,10.08
Tilapia,24.77,6.8,39.38,5.25
Bass,20.01,6.68,26.61,5.02
Eel,19.66,6.92,29.02,6.74
Trout,14.67,7.04,2.44,9.37
Bass,24.82,7.3,47.66,
Eel,17.05,6.08,17.44,4.76
Salmon,10.95,6.53,5.72,11.23
Catfish,21.93,6.06,61.94,3.36
Bass,19.55,7.28,40.85,7.6
Goldfish,19.02,7.9,18.93,6.28
Clownfish,27.27,8.17,1.04,5.92
Salmon,11.48,7.18,5.39,
Goldfish,21.82,7.21,9.98,5.59
Trout,14.48,6.92,6.45,8.4
Goldfish,12.6,8.22,5.02,7.47
Salmon,14.69,6.82,7.27,10.74
Tilapia,23.8,6.95,22.28,4.33
Trout,17.96,7.32,2.73,9.32
Salmon,8.91,6.76,9.11,
Bass,23.59,6.57,34.24,4.5
Trout,11.88,6.58,0.54,7.3
Salmon,12.76,7.18,6.82,9.19
Eel,5.26,7.19,26.14,7.77
,26.2,8.3,,6.54
Salmon,8.99,6.71,,8.87
Eel,22.38,6.5,28.73,
Trout,14.41,6.98,0.17,7.14
Bass,23.17,7.25,,6.48
Goldfish,23.77,7.9,19.9,5.85
Catfish,27.15,7.98,12.54,5.61
Salmon,9.69,7.31,3.74,11.71
Bass,20.3,7.03,38.68,6.04
,20.93,7.02,5.21,4.86
Tilapia,29.55,6.97,30.95,5.69
Eel,11.21,7.19,21.02,5.51
Tilapia,25.75,6.95,16.89,4.66
Clownfish,27.57,8.29,2.5,5.2
Clownfish,27.1,7.96,4.7,7.58
Bass,17.2,6.08,43.16,6.9
Tilapia,24.75,7.15,44.34,6.5
Catfish,27.95,6.98,31.29,5.84
Trout,17.71,6.87,1.48,9.79
Salmon,8.21,7.42,1.19,8.31
Goldfish,20.2,7.23,14.4,6.44
Catfish,26.83,,35.27,4.34
Trout,17.67,7.26,6.96,7.26
Bass,,,32.36,6.89
Catfish,22.09,6.83,81.35,4.14
Trout,17.63,6.8,5.06,8.16
Bass,20.96,7.48,25.3,4.61
Salmon,13.5,6.88,7.16,11.45
Trout,10.17,7.19,0.53,
Catfish,27.91,7.24,27.89,4.19
Trout,11.66,6.84,7.55,10.45
,11.49,7.84,12.89,7.79
Salmon,8.63,7.29,4.34,7.13
Catfish,24.67,6.41,74.51,4.65
,17.24,7.12,5.75,7.86
Clownfish,27.22,7.83,1.48,5.86
Salmon,12.28,,3.54,10.36
Salmon,13.2,7.25,7.96,9.92
Eel,5.26,6.54,27.02,7.58
Trout,16.48,6.88,8.88,10.24
Tilapia,25.79,7.61,41.77,5.15
Catfish,26.77,7.41,68.04,5.15
Trout,14.39,6.92,2.07,9.65
Eel,11.72,7.47,24.21,3.33
Catfish,26.49,7.26,5.25,6.46
Tilapia,28.7,6.55,37.0,7.62
Tilapia,27.67,7.97,26.84,7.12
Eel,24.58,6.28,19.9,6.65
Eel,18.65,6.31,29.71,7.57
Trout,13.94,7.04,,
Trout,11.94,6.84,3.71,10.44
Clownfish,,8.04,1.49,5.85
Trout,17.93,7.46,6.1,7.24
Eel,10.06,6.58,22.75,7.96
Salmon,9.01,7.46,5.82,8.41
Clownfish,26.14,8.11,1.15,5.63
Trout,15.34,6.94,,10.09
,15.54,6.82,2.64,8.82
Salmon,,7.45,8.36,10.63
Salmon,9.22,7.4,3.95,7.79
Tilapia,25.58,6.89,36.31,5.1
Tilapia,27.57,6.61,17.93,4.49
Eel,16.34,7.24,18.05,7.38
Trout,12.45,7.09,7.44,9.91
Goldfish,10.44,7.51,19.03,7.35
Goldfish,23.3,8.18,8.77,5.66
Trout,12.52,7.48,0.84,9.33
Goldfish,13.76,8.17,14.02,7.45
Clownfish,27.81,8.26,3.94,7.75
Bass,17.95,7.27,46.52,6.47
Bass,23.84,7.1,23.48,8.33
Trout,10.56,6.63,7.31,11.73
Goldfish,13.43,8.36,13.53,5.37
Clownfish,24.91,8.27,2.41,6.37
Bass,,,5.27,8.16
Goldfish,21.22,,9.94,5.64
Bass,15.41,7.18,27.54,4.63
Catfish,21.42,7.82,91.49,5.76
Eel,5.63,7.3,12.69,4.84
Eel,5.2,7.54,18.52,5.43
Trout,14.74,7.39,4.86,10.32
Salmon,14.76,7.33,4.72,10.47
Clownfish,26.48,7.86,1.63,6.49
Clownfish,26.55,7.93,3.92,5.27
Catfish,21.93,6.63,86.85,3.35
Goldfish,23.67,7.27,17.07,5.75
Eel,9.17,7.01,,7.95
,16.35,6.21,23.1,3.86
Clownfish,27.01,8.29,1.85,7.88
Goldfish,15.49,8.38,14.35,6.81
Trout,11.87,6.51,4.21,7.57
Clownfish,26.38,8.2,0.67,7.36
Eel,,7.76,10.84,5.83
Eel,18.44,7.84,21.77,4.21
Catfish,20.1,6.81,35.15,5.42
Trout,10.93,7.49,4.27,10.38
Bass,21.82,6.41,17.77,4.71
Bass,16.66,6.09,16.38,5.81
Trout,16.6,7.47,7.93,
Salmon,12.0,7.2,7.48,9.48
Tilapia,24.17,7.92,42.46,7.85
Catfish,24.34,6.98,78.57,5.39
Eel,19.68,6.53,22.83,
Tilapia,27.0,7.95,18.74,7.65
Tilapia,26.94,7.73,33.18,4.12
Salmon,8.86,7.04,,6.3
Trout,13.2,7.27,6.38,10.52
Goldfish,10.43,7.34,16.11,7.73
Salmon,10.93,6.81,1.54,8.92
Eel,18.03,7.03,18.79,6.76
Trout,17.45,6.91,8.87,9.09
Bass,,6.94,,7.99
Bass,17.35,6.42,7.33,7.74
Clownfish,,7.96,4.25,7.64
,,7.81,21.1,7.77
Tilapia,28.15,7.5,19.66,5.08
Goldfish,23.25,7.82,19.8,7.38
Bass,19.62,6.54,11.55,6.66
Clownfish,27.59,8.39,3.54,5.21
Bass,19.24,6.15,7.39,
Eel,5.06,7.25,15.75,5.72
Trout,15.75,7.47,2.46,10.51
Goldfish,17.46,,14.14,6.17
Clownfish,24.17,8.25,1.59,6.67
Clownfish,26.86,7.84,0.91,7.67
Bass,16.96,6.85,22.96,7.71
Eel,15.76,6.81,11.3,3.87
Eel,5.22,6.98,17.05,4.35
Tilapia,25.41,7.36,20.6,7.54
Tilapia,25.93,7.4,25.28,6.79
Bass,23.12,6.25,41.07,5.74
,11.8,7.47,7.05,8.77
Tilapia,27.12,7.66,26.12,4.52
Clownfish,24.01,,3.19,
Clownfish,27.63,,2.7,7.53
Goldfish,19.21,7.91,9.65,5.44
Clownfish,25.74,8.37,1.18,7.27
Clownfish,26.33,8.34,4.57,5.36
Catfish,20.84,6.93,79.14,3.25
Tilapia,28.18,7.17,15.37,6.37
Bass,22.37,6.3,36.01,8.43
Goldfish,15.18,7.07,13.4,7.14
Bass,17.7,6.5,13.94,8.77
Tilapia,22.16,7.42,40.4,6.98
Clownfish,,8.03,2.04,5.38
Salmon,12.53,6.75,4.83,7.46
Bass,18.32,6.24,6.76,8.62
Catfish,20.18,6.31,24.86,6.61
Salmon,9.24,6.73,0.33,9.85
,24.65,8.05,1.51,7.44
Bass,21.75,6.47,7.52,4.55
Clownfish,26.84,8.35,4.43,7.35
Goldfish,12.66,7.65,,5.95
Goldfish,11.6,7.28,5.78,7.72
Catfish,26.6,6.14,40.63,5.54
Catfish,21.09,6.63,16.2,4.09
Trout,11.46,7.05,9.54,9.41
Bass,17.68,7.02,41.7,7.52
Tilapia,27.31,7.34,13.24,6.96
,24.34,6.53,14.63,5.67
Eel,24.71,6.75,22.72,5.95
Tilapia,27.98,7.61,47.26,5.37
Tilapia,29.89,7.75,19.51,7.2
Tilapia,29.41,6.65,28.61,6.82
Clownfish,27.0,7.98,2.91,7.15
Clownfish,25.27,8.0,4.82,5.32
Catfish,25.02,7.91,8.85,5.64
Eel,16.8,7.34,17.83,6.89
Eel,8.74,6.66,12.1,5.48
Catfish,23.53,7.13,77.79,4.76
Bass,17.08,6.53,11.87,5.93
Goldfish,23.4,7.59,16.03,5.63
Salmon,8.1,7.21,,
Tilapia,28.2,7.63,11.88,5.25
Eel,18.9,6.3,26.31,5.82
Salmon,9.14,6.96,8.99,8.51
Tilapia,29.78,7.14,30.84,5.28
Clownfish,26.11,,1.25,6.09
Eel,22.61,6.59,29.6,5.85
Bass,19.76,7.38,14.58,4.2
Trout,14.88,6.81,2.1,11.39
Goldfish,21.08,7.86,9.69,5.11
Trout,10.09,7.16,9.31,7.61
Trout,,6.75,6.72,11.35
Catfish,22.03,6.08,25.58,4.68
Clownfish,26.65,8.24,3.23,7.35
Goldfish,14.02,7.43,5.0,5.99
Salmon,9.85,6.7,2.03,7.98
Salmon,13.64,7.43,,8.65
Eel,15.36,6.2,26.51,6.65
