Fish Species,Temperature (°C),pH,Turbidity (NTU),Dissolved Oxygen (mg/L),Salinity (ppt),Ammonia (%),Nitrates (%)
Trout,12.19,7.4,3.65,11.24,4.07,1.96,37.53
,28.69,6.76,42.27,7.0,3.84,0.14,10.09
Catfish,20.34,,90.42,6.93,3.35,0.69,13.09
Goldfish,23.04,7.11,15.89,5.2,0.63,2.69,18.04
Eel,21.66,6.23,22.69,4.93,28.11,2.13,2.4
Catfish,21.03,6.28,97.02,6.19,1.74,2.25,20.59
Salmon,10.71,7.37,2.34,6.5,34.15,1.06,1.36
Tilapia,,,13.95,7.27,0.34,1.17,19.61
Tilapia,22.51,7.16,14.76,7.93,,2.16,14.62
Catfish,20.42,6.53,99.95,4.84,1.9,,11.13
Tilapia,27.6,6.72,21.56,5.29,0.82,2.12,18.11
Catfish,27.11,7.37,59.26,5.07,3.99,1.87,18.18
Eel,15.11,6.9,21.29,,14.18,2.53,29.13
Bass,21.04,7.49,41.12,9.52,2.49,2.89,39.02
Trout,14.73,7.13,0.03,10.76,0.57,2.68,30.54
Tilapia,22.7,7.54,31.03,6.72,4.7,0.91,
Tilapia,28.21,7.58,14.3,6.58,2.46,0.79,35.41
Catfish,26.56,6.51,41.55,6.27,2.33,0.08,28.58
Tilapia,29.83,7.93,35.81,6.96,3.96,1.19,16.44
Trout,12.5,7.01,3.11,11.94,0.04,2.35,40.29
Tilapia,,6.88,43.81,7.63,1.23,2.59,
Salmon,12.85,7.07,7.0,9.08,34.17,0.23,13.63
Eel,0.04540984900654621,7.58,12.43,6.91,5.4,,47.81
Tilapia,25.32,7.75,26.56,4.03,1.74,2.52,12.72
Trout,10.2,6.66,7.85,10.97,3.18,2.01,0.24
Tilapia,22.45,7.84,37.41,6.22,0.52,1.64,18.19
Clownfish,25.12,8.33,1.01,5.32,33.82,2.08,20.94
Tilapia,23.2,7.93,13.84,6.99,4.36,2.72,18.81
Bass,16.04,,39.83,4.72,6.84,0.94,21.27
Clownfish,27.56,8.36,2.95,5.43,28.33,1.24,1.94
Trout,15.09,7.09,4.79,7.66,0.4,2.26,10.53
Tilapia,27.26,6.93,38.93,6.89,3.26,,15.39
Salmon,12.51,6.88,1.91,11.36,33.53,2.79,18.81
Clownfish,24.56,8.09,0.83,5.18,28.78,1.09,48.52
Catfish,20.87,7.92,43.75,,2.25,0.93,24.19
Goldfish,19.49,7.37,9.07,7.34,,1.36,19.7
Salmon,14.61,,8.86,10.29,17.07,2.97,37.29
Bass,21.26,7.16,12.28,7.95,9.97,0.42,43.5
Catfish,20.98,7.14,19.72,5.58,0.16,1.99,19.34
Trout,12.35,,1.36,9.47,3.68,1.71,
Clownfish,24.01,7.98,0.98,5.75,30.4,1.91,28.72
Bass,17.71,6.72,18.63,,7.54,2.0,19.1
Clownfish,26.0,7.96,3.38,5.12,,0.99,32.87
Eel,11.16,7.58,17.78,4.16,15.58,2.7,29.15
Trout,10.59,7.21,2.63,11.62,0.12,2.13,15.21
Trout,16.44,7.08,7.99,11.03,3.16,1.49,28.83
Salmon,40.20133744353893,6.62,0.88,6.7,34.98,1.92,49.79
Tilapia,24.14,6.76,24.87,6.14,1.06,0.31,20.53
,13.8,6.54,1.25,8.09,15.06,0.64,37.04
Clownfish,25.43,7.91,2.21,6.84,33.6,0.29,4.79
Eel,11.65,6.25,15.77,3.5,5.68,1.4,28.77
Goldfish,11.47,7.26,5.95,5.01,2.55,1.02,47.02
Trout,17.09,6.93,3.72,8.97,0.06,1.83,38.33
Trout,17.37,6.9,3.65,9.45,3.55,0.09,39.74
Bass,23.09,6.72,24.16,6.19,,1.7,41.85
