Fish Type,Temperature (°C),Turbidity (NTU),pH Level,Ammonia (mg/L),Nitrates (mg/L),Dissolved Oxygen (mg/L)
Catfish,24.76,2.61,6.07,0.665,18.62,4.96
Bass,26.67,4.4,7.98,0.205,24.36,7.26
Trout,17.84,1.28,7.39,,1.37,8.61
Bass,20.57,2.19,7.99,0.27,25.87,
Tilapia,24.3,2.13,6.97,0.052,39.14,7.61
Trout,12.5,2.99,7.54,0.157,2.15,10.69
Catfish,21.19,5.18,6.65,0.832,58.99,4.14
Salmon,13.02,0.6,7.24,0.193,2.45,7.91
Goldfish,14.76,3.16,7.89,0.243,21.29,8.72
Tilapia,24.97,1.74,6.5,0.145,25.82,4.04
Bass,26.68,4.26,7.46,0.272,35.05,8.14
Tilapia,26.71,1.01,8.14,0.475,49.51,7.87
Tilapia,24.36,4.88,8.28,0.071,48.15,4.92
Goldfish,23.26,3.65,6.82,0.301,12.25,5.08
Trout,11.46,0.11,7.84,0.15,3.66,11.82
Tilapia,25.7,2.59,,0.462,6.73,5.18
Salmon,6.48,0.74,6.51,0.082,2.32,8.89
Catfish,27.16,3.15,6.51,0.213,31.29,4.35
Bass,21.85,2.04,6.63,0.064,46.1,4.32
Salmon,12.49,1.98,7.62,,14.55,8.2
Catfish,21.24,9.62,6.33,0.913,11.18,6.86
Trout,17.64,1.38,7.55,0.005,16.01,11.72
Bass,20.41,1.98,7.89,0.196,36.92,4.99
Bass,,5.34,6.65,0.0,46.05,4.02
Goldfish,15.2,2.61,7.82,0.111,11.13,6.29
Goldfish,18.94,1.83,7.67,0.215,28.13,8.59
Bass,21.2,2.03,6.23,0.258,22.76,5.9
Bass,25.04,3.09,8.49,0.279,43.26,5.74
Salmon,11.13,1.44,6.6,0.067,18.97,7.01
Salmon,11.67,0.1,6.73,0.146,17.5,10.28
Trout,9.01,0.31,6.97,0.064,6.58,7.59
Catfish,22.89,3.83,6.06,0.504,48.0,4.05
Tilapia,25.05,1.7,7.74,0.089,39.46,7.15
Goldfish,16.45,3.87,6.6,0.039,34.35,6.22
Catfish,26.32,6.03,6.44,0.386,43.7,6.75
Goldfish,18.96,1.7,6.52,0.247,18.17,6.23
Trout,17.22,0.07,,0.009,18.49,9.45
Bass,18.12,3.27,7.17,0.071,15.18,
Tilapia,29.36,2.17,8.31,0.038,36.47,4.23
Bass,24.94,2.28,6.93,0.084,15.92,8.83
Tilapia,29.1,2.17,7.06,0.456,7.33,7.4
Trout,5.45,2.7,7.43,0.028,17.95,7.7
Trout,15.0,1.2,7.95,0.11,19.99,8.41
Catfish,27.69,2.05,7.96,0.869,49.25,4.25
Salmon,9.7,0.99,7.09,0.062,1.25,9.01
Trout,9.28,2.94,7.17,0.15,9.64,9.03
Goldfish,12.05,2.52,7.47,0.016,31.25,6.81
Salmon,13.06,0.8,6.86,0.141,16.16,9.63
Tilapia,27.55,1.54,6.83,0.401,33.59,4.92
Goldfish,15.97,2.75,7.7,0.217,18.39,5.65
Catfish,25.72,3.19,6.56,0.76,49.16,4.99
Bass,21.2,4.59,6.75,0.036,17.28,8.75
Salmon,4.15,1.48,7.82,0.143,15.5,7.03
Tilapia,23.62,4.79,8.3,0.247,41.43,5.57
Tilapia,25.69,2.67,6.59,0.078,39.1,7.01
Trout,5.48,1.04,7.87,0.162,12.48,7.55
Tilapia,27.08,3.87,7.18,0.069,9.45,4.17
Catfish,20.81,6.39,,0.851,28.78,4.49
Goldfish,18.85,1.13,7.41,0.268,6.98,8.18
Trout,15.59,2.64,6.81,0.158,8.82,11.82
Trout,11.88,2.86,7.14,0.008,1.35,9.79
Goldfish,14.74,3.41,7.41,0.437,38.56,6.38
Goldfish,10.38,3.73,7.78,0.126,7.85,7.03
Catfish,24.51,3.91,7.18,0.532,53.54,4.62
Trout,12.48,2.93,7.82,0.103,12.27,8.15
Goldfish,12.8,3.31,7.0,0.474,19.06,8.94
Salmon,6.62,0.01,7.99,0.088,3.13,8.86
Tilapia,26.42,3.94,7.57,0.265,33.45,5.44
Trout,10.06,1.5,7.28,0.161,9.37,10.25
Catfish,24.46,9.59,7.36,0.917,27.41,4.55
Trout,7.04,1.36,6.79,0.153,6.65,10.87
Salmon,12.67,0.4,7.28,0.065,13.42,9.28
Trout,11.53,0.37,7.57,0.083,16.62,8.78
Trout,17.16,2.66,7.41,0.143,8.49,10.88
Catfish,20.44,2.26,6.52,0.216,59.86,4.26
Bass,19.02,3.52,7.28,0.155,39.43,6.19
Salmon,7.04,1.87,7.26,0.025,21.05,8.23
Trout,5.51,1.48,6.91,0.142,4.71,10.47
Salmon,12.87,0.71,7.27,0.135,5.55,9.85
Bass,23.96,5.92,6.71,0.084,6.93,4.57
Bass,19.01,1.94,7.05,0.058,14.7,6.26
Goldfish,23.64,1.14,7.2,0.091,32.21,6.98
Catfish,24.73,5.7,7.94,0.632,46.16,6.2
Salmon,13.71,1.16,6.8,0.197,5.5,9.75
Tilapia,22.59,3.29,8.14,0.018,19.31,6.96
Goldfish,19.87,1.08,7.06,0.187,2.2,7.15
Salmon,8.27,1.89,,0.01,12.77,6.81
Salmon,15.34,0.73,6.78,0.099,21.02,7.32
Goldfish,18.38,1.56,7.0,0.015,2.28,8.43
Tilapia,23.35,1.55,6.52,0.199,6.16,6.3
Bass,15.93,2.88,6.3,0.167,48.47,6.23
Salmon,11.56,0.03,7.88,0.192,14.31,6.85
Bass,17.76,2.01,8.18,0.01,24.4,8.47
Goldfish,22.35,1.64,7.65,0.166,22.54,5.4
Salmon,11.12,1.43,7.55,0.168,5.78,10.57
Trout,15.96,0.91,6.93,0.197,1.96,9.6
Tilapia,24.43,4.75,7.79,0.334,39.21,7.53
Goldfish,12.32,2.23,6.56,0.198,7.34,8.37
Trout,13.28,1.56,7.15,0.061,18.61,8.94
Goldfish,16.23,3.15,6.5,0.251,1.17,5.99
Bass,22.37,4.45,6.55,0.176,36.45,7.82
Goldfish,20.27,2.81,6.79,0.245,0.96,6.24
Goldfish,17.32,2.21,6.74,0.293,14.44,7.37
Bass,18.62,5.57,6.43,,45.55,6.84
Catfish,22.05,9.58,7.55,0.895,30.13,3.98
Bass,24.45,4.8,7.06,0.182,39.4,8.12
Tilapia,23.31,2.05,6.58,0.287,23.07,6.46
